标题,租赁方式,户型,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金(元/月),押金(元),服务费(元),中介费(元),链接
新安北里,合租,3居室,8.00㎡,北,今天,随时入住,4/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,2446,2446,,0,https://bj.zu.ke.com/zufang/BJ1825776656338386944.html
青年汇佳园,整租,3室2厅2卫,120.00㎡,南 北,10天前,随时入住,低楼层/18层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,12500,12500,0.0,12500,https://bj.zu.ke.com/zufang/BJ1942543861498773504.html
林肯公寓,整租,6房间3卫,102.07㎡,西南,2天前,随时入住,低楼层/11层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,13000,13000,0.0,13000,https://bj.zu.ke.com/zufang/BJ1942546073411125248.html
爱这城一期,整租,3室1厅2卫,127.79㎡,南 北,2天前,随时入住,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,11000,11000,0.0,11000,https://bj.zu.ke.com/zufang/BJ1942543922341347328.html
京贸中心,整租,2室2厅1卫,139.00㎡,南 北,8天前,随时入住,低楼层/24层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,5700,5700,0.0,5700,https://bj.zu.ke.com/zufang/BJ1942526046163173376.html
家和园,合租,4居室,12.00㎡,北,2天前,随时入住,4/22层,无,免费使用,民水,民电,有,集中供暖,1~6个月,随时可看,季付,1100,550,,0,https://bj.zu.ke.com/zufang/BJ1871077069744504832.html
孙各庄家园西区,整租,2室1厅1卫,87.00㎡,南 北,9天前,随时入住,3/27层,无,免费使用,民水,民电,有,集中供暖,3~12个月,需提前预约,季付,3200,3200,,0,https://bj.zu.ke.com/zufang/BJ1871483028769865728.html
芳星园三区,整租,2室1厅1卫,58.09㎡,南,今天,随时入住,2/6层,无,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,6079,6079,,0,https://bj.zu.ke.com/zufang/BJ1871096790632103936.html
保利海德公园,整租,3房间2卫,39.00㎡,西,10天前,随时入住,低楼层/10层,有,租用车位,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,12000,12000,0.0,12000,https://bj.zu.ke.com/zufang/BJ1945756271093219328.html
丽新嘉园南区,整租,1室1厅1卫,65.00㎡,南,5天前,随时入住,低楼层/28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,季付,6100,6100,0.0,6100,https://bj.zu.ke.com/zufang/BJ1945755697400512512.html
宣武门西大街南区,整租,2室1厅1卫,49.99㎡,南,1天前,随时入住,中楼层/10层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1945775015723008000.html
山水文园二期,整租,4室2厅2卫,297.22㎡,南 北,3天前,随时入住,高楼层/9层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,34000,34000,0.0,34000,https://bj.zu.ke.com/zufang/BJ1945775019942477824.html
琳琅庄园,整租,2室1厅1卫,107.26㎡,东南,9天前,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,双月付,5700,5700,0.0,5700,https://bj.zu.ke.com/zufang/BJ1945770982438338560.html
重兴嘉园,整租,2室1厅1卫,95.60㎡,东南,9天前,随时入住,高楼层/22层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5500,5500,0.0,5500,https://bj.zu.ke.com/zufang/BJ1945784993938669568.html
龙湖长城源著1号院,整租,2室2厅2卫,79.83㎡,南 北,12天前,随时入住,低楼层/3层,无,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,2500,2500,0.0,2500,https://bj.zu.ke.com/zufang/BJ1945782225417011200.html
新村三里,整租,2室1厅1卫,64.00㎡,南 北,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4500,4500,0.0,4500,https://bj.zu.ke.com/zufang/BJ1945783273795878912.html
中海安德鲁斯庄园西区,整租,5室2厅4卫,361.00㎡,南 北,14天前,随时入住,地下室/3层,无,免费使用,民水,民电,有,自采暖,暂无数据,需提前预约,月付,32000,32000,0.0,32000,https://bj.zu.ke.com/zufang/BJ1921817638787350528.html
IDCITY艾迪城,整租,4房间2卫,84.00㎡,东 南,11天前,随时入住,高楼层/9层,有,暂无数据,商水,商电,有,集中供暖,1年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1921895906269986816.html
酒仙桥村,整租,1室1厅1卫,50.72㎡,南,10天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,5800,5800,0.0,5800,https://bj.zu.ke.com/zufang/BJ1921862880655835136.html
酒仙桥三街坊,整租,2室1厅1卫,54.81㎡,南 北,1天前,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1921859051616993280.html
泰禾中央广场,整租,3房间1卫,60.00㎡,南,3天前,随时入住,8/9层,有,暂无数据,商水,商电,有,暂无数据,1~12个月,随时可看,月付,4200,4200,,0,https://bj.zu.ke.com/zufang/BJ1826607636062142464.html
金隅自由筑,整租,2房间1卫,53.00㎡,西,8天前,随时入住,中楼层/7层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,一般下班后可看,季付,3400,3400,0.0,3400,https://bj.zu.ke.com/zufang/BJ1921513801551708160.html
红石座,整租,1房间1卫,60.08㎡,南,7天前,随时入住,低楼层/13层,有,免费使用,商水,商电,无,集中供暖,暂无数据,需提前预约,半年付,3700,3700,0.0,3700,https://bj.zu.ke.com/zufang/BJ1921510761427894272.html
黄村西里,整租,2室1厅1卫,57.00㎡,南 北,5天前,随时入住,高楼层/5层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3200,3200,0.0,3200,https://bj.zu.ke.com/zufang/BJ1921495463903625216.html
古城现代嘉园,合租,4居室,8.00㎡,北,今天,随时入住,4/25层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,1984,1984,,0,https://bj.zu.ke.com/zufang/BJ1943188871495811072.html
六建,整租,3室1厅1卫,82.80㎡,南,今天,随时入住,5/6层,无,暂无数据,民水,民电,有,集中供暖,1~3年,随时可看,月付,11193,11193,,0,https://bj.zu.ke.com/zufang/BJ1943216409534267392.html
顶秀美泉小镇B区,整租,3室2厅2卫,123.90㎡,南 北,8天前,随时入住,中楼层/5层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,年付,5400,5400,0.0,5400,https://bj.zu.ke.com/zufang/BJ1921494729896230912.html
展春园,整租,1室1厅1卫,41.80㎡,南,今天,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5800,5800,0.0,5800,https://bj.zu.ke.com/zufang/BJ1921491572562591744.html
农科院,整租,2室1厅1卫,77.50㎡,西南,3天前,随时入住,中楼层/24层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,10613,10613,0.0,10613,https://bj.zu.ke.com/zufang/BJ1921466854019170304.html
阜成门外大街,合租,3居室,12.60㎡,西,今天,随时入住,1/4层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,3769,3769,,0,https://bj.zu.ke.com/zufang/BJ1826586570900111360.html
北京财富中心,整租,4室2厅3卫,318.00㎡,东 南 北,6天前,随时入住,高楼层/42层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,60000,60000,0.0,60000,https://bj.zu.ke.com/zufang/BJ1921941118895783936.html
悦君家园,整租,2室1厅1卫,74.00㎡,南,14天前,随时入住,高楼层/16层,有,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4200,4200,0.0,4200,https://bj.zu.ke.com/zufang/BJ1921933115903705088.html
万泉庄1号院,整租,1室1厅1卫,43.30㎡,南,3天前,2025-01-01,6/6层,无,暂无数据,民水,民电,有,集中供暖,4~7个月,需提前预约,月付,6888,6888,,0,https://bj.zu.ke.com/zufang/BJ1826536894452727808.html
志新村,整租,2室1厅1卫,61.60㎡,南,今天,随时入住,4/18层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,8568,8568,,0,https://bj.zu.ke.com/zufang/BJ1826639766624403456.html
佳和宜园,整租,1室1厅1卫,47.68㎡,南,12天前,随时入住,低楼层/11层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2400,2400,0.0,2400,https://bj.zu.ke.com/zufang/BJ1922123158219915264.html
博世祥园,整租,2室1厅1卫,103.00㎡,东 南 西,5天前,随时入住,中楼层/18层,无,暂无数据,民水,民电,有,暂无数据,2年以内,需提前预约,年付,14500,14500,0.0,14500,https://bj.zu.ke.com/zufang/BJ1922136013925253120.html
西城晶华,整租,4室2厅3卫,198.33㎡,南 北,9天前,随时入住,中楼层/8层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,半年付,41000,41000,0.0,41000,https://bj.zu.ke.com/zufang/BJ1922102230689775616.html
磨房南里,合租,3居室,8.43㎡,南,今天,随时入住,5/6层,无,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,2551,2551,,0,https://bj.zu.ke.com/zufang/BJ1826635579110981632.html
农光南路,合租,3居室,8.80㎡,北,今天,随时入住,13/16层,有,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,2404,2404,,0,https://bj.zu.ke.com/zufang/BJ1826487724652101632.html
UHN国际村,整租,3室2厅2卫,139.17㎡,南 北,4天前,随时入住,中楼层/28层,有,暂无数据,民水,民电,有,集中供暖,3年以内,一般下班后可看,年付,18500,18500,0.0,18500,https://bj.zu.ke.com/zufang/BJ1922127659110760448.html
华信大厦宿舍,整租,1室1厅1卫,44.75㎡,南,1天前,2024-12-26,5/6层,无,暂无数据,民水,民电,有,集中供暖,1~3年,需提前预约,月付,4861,4861,,0,https://bj.zu.ke.com/zufang/BJ1826322129910497280.html
青塔南里,合租,3居室,11.40㎡,南,今天,随时入住,2/8层,有,暂无数据,民水,民电,有,自采暖,1~12个月,随时可看,月付,2551,2551,,0,https://bj.zu.ke.com/zufang/BJ1826560766086479872.html
政洋家园,合租,3居室,18.68㎡,南,今天,随时入住,10/18层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,3034,3034,,0,https://bj.zu.ke.com/zufang/BJ1827571665119215616.html
北亚花园,整租,3室2厅1卫,100.08㎡,南 北,17天前,随时入住,中楼层/7层,无,免费使用,民水,民电,有,集中供暖,3年以上,需提前预约,季付,3600,3600,0.0,3600,https://bj.zu.ke.com/zufang/BJ1922138793117220864.html
太平桥东里,整租,2室1厅1卫,57.87㎡,南 北,2天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5800,5800,0.0,5800,https://bj.zu.ke.com/zufang/BJ1922136182234284032.html
光华西里,合租,2居室,26.60㎡,北,今天,随时入住,1/5层,无,暂无数据,民水,民电,有,集中供暖,4~7个月,随时可看,月付,5147,5147,,0,https://bj.zu.ke.com/zufang/BJ1827293555366821888.html
嘉润花园,合租,4居室,10.40㎡,西,今天,随时入住,13/28层,有,租用车位,民水,民电,有,自采暖,1~12个月,随时可看,月付,2971,2971,,0,https://bj.zu.ke.com/zufang/BJ1931197359643951104.html
正邦嘉园二期,整租,1室1厅1卫,50.75㎡,北,1天前,随时入住,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4200,4200,0.0,4200,https://bj.zu.ke.com/zufang/BJ1946560156833677312.html
琥珀郡,整租,3房间1卫,89.00㎡,西南,7天前,随时入住,中楼层/13层,有,暂无数据,民水,商电,无,集中供暖,暂无数据,需提前预约,季付,3300,3300,0.0,3300,https://bj.zu.ke.com/zufang/BJ1946562260092583936.html
桃源里,整租,3室1厅1卫,81.00㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4400,4400,0.0,4400,https://bj.zu.ke.com/zufang/BJ1946586185837051904.html
金地国际花园,整租,2室2厅2卫,145.00㎡,东南,12天前,暂无数据,低楼层/33层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,19000,19000,0.0,19000,https://bj.zu.ke.com/zufang/BJ1946563119140569088.html
潘家坡胡同4号院,整租,2室1厅1卫,55.55㎡,南 北,15天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,7800,7800,0.0,7800,https://bj.zu.ke.com/zufang/BJ1946545825127596032.html
万科云溪,整租,4室2厅3卫,197.51㎡,南 北,1天前,随时入住,低楼层/4层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,6900,6900,0.0,6900,https://bj.zu.ke.com/zufang/BJ1946539357984784384.html
北京青年城,合租,5居室,18.00㎡,北,8天前,2024-12-25,6/6层,无,免费使用,民水,民电,有,集中供暖,1~2年,需提前预约,季付,1850,1850,,0,https://bj.zu.ke.com/zufang/BJ1952708913962942464.html
国瑞城西区,整租,3室2厅3卫,258.85㎡,北,5天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,38000,38000,0.0,38000,https://bj.zu.ke.com/zufang/BJ1946540079837085696.html
建新南区,整租,1室1厅1卫,35.00㎡,南,4天前,随时入住,高楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,1500,1500,0.0,1500,https://bj.zu.ke.com/zufang/BJ1946533636564058112.html
九洲溪雅苑二区,合租,4居室,12.33㎡,北,3天前,2025-01-02,1/14层,有,暂无数据,民水,民电,有,自采暖,1~2年,需提前预约,月付,1354,1354,,0,https://bj.zu.ke.com/zufang/BJ1930720272948658176.html
宝盛里,合租,3居室,37.35㎡,南,今天,随时入住,6/6层,无,租用车位,民水,民电,有,集中供暖,1年,随时可看,月付,4189,4189,,0,https://bj.zu.ke.com/zufang/BJ1930762209252605952.html
团结湖北五条,整租,2室1厅1卫,83.95㎡,东 北,9天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1946554330920255488.html
胜利小区,整租,2室1厅1卫,58.49㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2400,2400,0.0,2400,https://bj.zu.ke.com/zufang/BJ1946531792072736768.html
合生国际花园,整租,1室1厅1卫,65.00㎡,东,7天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1946531895491690496.html
茂林居,整租,1室1厅1卫,43.43㎡,南,今天,随时入住,10/16层,有,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,8389,8389,,0,https://bj.zu.ke.com/zufang/BJ1930648320145883136.html
顶秀美泉小镇B区,整租,2室1厅1卫,100.00㎡,南 北,3天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4400,4400,0.0,4400,https://bj.zu.ke.com/zufang/BJ1946770766821326848.html
白檀小区,整租,2室2厅1卫,81.00㎡,南 北,4天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,1400,1400,0.0,1400,https://bj.zu.ke.com/zufang/BJ1946771658811375616.html
天裕昕园西区,合租,3居室,9.00㎡,北,今天,随时入住,5/16层,有,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,1459,1459,,0,https://bj.zu.ke.com/zufang/BJ1930672409061359616.html
朝阳公园西里北区,合租,3居室,8.70㎡,北,1天前,2024-12-29,6/6层,无,暂无数据,民水,民电,有,集中供暖,1年,需提前预约,月付,2761,2761,,0,https://bj.zu.ke.com/zufang/BJ1931026726452723712.html
长阳国际城一区,整租,2室1厅1卫,78.00㎡,南,10天前,随时入住,中楼层/20层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,季付,3500,3500,0.0,3500,https://bj.zu.ke.com/zufang/BJ1946775352466472960.html
美景东方,整租,3室2厅2卫,129.00㎡,南 北,7天前,随时入住,中楼层/21层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,9900,9900,0.0,9900,https://bj.zu.ke.com/zufang/BJ1946777913168756736.html
安福苑,整租,2室1厅1卫,52.00㎡,南,4天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3300,3300,0.0,3300,https://bj.zu.ke.com/zufang/BJ1946785206056779776.html
明月嘉园,合租,4居室,13.00㎡,东,今天,随时入住,23/24层,有,租用车位,民水,民电,有,集中供暖,1~12个月,随时可看,月付,2824,2824,,0,https://bj.zu.ke.com/zufang/BJ1931282813995188224.html
绿波漫板,整租,2室2厅2卫,114.00㎡,南 北,今天,随时入住,低楼层/7层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,半年付,14500,14500,0.0,14500,https://bj.zu.ke.com/zufang/BJ1946779982063730688.html
复兴门外大街,整租,2室1厅1卫,58.00㎡,南 北,9天前,随时入住,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,7300,7300,0.0,7300,https://bj.zu.ke.com/zufang/BJ1946778662711853056.html
建材城西二里,整租,1室1厅1卫,46.30㎡,南,今天,随时入住,6/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,随时可看,月付,5628,5628,,0,https://bj.zu.ke.com/zufang/BJ1952853317642092544.html
铁东小区,整租,2室1厅1卫,58.00㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,7000,7000,0.0,7000,https://bj.zu.ke.com/zufang/BJ1946779177126461440.html
城市出品,整租,1室0厅1卫,53.35㎡,西,10天前,随时入住,低楼层/10层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,6200,6200,0.0,6200,https://bj.zu.ke.com/zufang/BJ1946785210330775552.html
国仕汇,整租,2室1厅1卫,79.36㎡,南 北,10天前,随时入住,中楼层/13层,有,租用车位,民水,民电,有,自采暖,暂无数据,需提前预约,季付,5200,5200,0.0,5200,https://bj.zu.ke.com/zufang/BJ1946783415273521152.html
时间国际,整租,1室1厅1卫,64.00㎡,北,3天前,随时入住,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,9200,9200,0.0,9200,https://bj.zu.ke.com/zufang/BJ1946821377956773888.html
保利花园C区,整租,3室1厅1卫,106.00㎡,南 北,9天前,随时入住,中楼层/6层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,2500,2500,0.0,2500,https://bj.zu.ke.com/zufang/BJ1946821671960707072.html
永定路57号院,整租,2室1厅1卫,54.60㎡,南,10天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,月付,5700,5700,0.0,5700,https://bj.zu.ke.com/zufang/BJ1946820805715296256.html
龙兴园北区,整租,2室1厅1卫,85.00㎡,南 北,2天前,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5000,5000,0.0,5000,https://bj.zu.ke.com/zufang/BJ1946826436845240320.html
竹园,整租,2室1厅1卫,64.70㎡,南 北,1天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6400,6400,0.0,6400,https://bj.zu.ke.com/zufang/BJ1946831519783845888.html
博客雅居,整租,1室1厅1卫,59.00㎡,东 南,今天,随时入住,高楼层/24层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,4100,4100,0.0,4100,https://bj.zu.ke.com/zufang/BJ1946827873436303360.html
金地格林格林,合租,3居室,8.16㎡,西,3天前,2025-01-03,9/18层,有,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,1774,1774,,0,https://bj.zu.ke.com/zufang/BJ1829218830589624320.html
样本,整租,3室2厅2卫,164.83㎡,南 北,7天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,7000,7000,0.0,7000,https://bj.zu.ke.com/zufang/BJ1946843507280838656.html
双龙南里,整租,3室1厅1卫,77.00㎡,南 北,6天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,6000,6000,0.0,6000,https://bj.zu.ke.com/zufang/BJ1946838268574171136.html
中海凯旋,整租,4室2厅3卫,222.00㎡,南 北,7天前,随时入住,中楼层/8层,有,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,半年付,58000,58000,0.0,58000,https://bj.zu.ke.com/zufang/BJ1946884654824947712.html
育新花园,整租,1室1厅1卫,47.30㎡,南,3天前,2025-01-09,1/6层,无,租用车位,民水,民电,有,集中供暖,1~3年,需提前预约,月付,5628,5628,,0,https://bj.zu.ke.com/zufang/BJ1829354372304207872.html
金台里,整租,2室1厅1卫,58.31㎡,东,今天,随时入住,6/6层,无,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,6919,6919,,0,https://bj.zu.ke.com/zufang/BJ1829161772410470400.html
中国铁建国际城,整租,4室2厅2卫,149.61㎡,东 南 北,7天前,随时入住,中楼层/11层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,13000,13000,0.0,13000,https://bj.zu.ke.com/zufang/BJ1946889514974707712.html
亦园,整租,3室1厅2卫,113.84㎡,南 北,10天前,随时入住,低楼层/14层,有,免费使用,民水,民电,有,自采暖,1年以内,需提前预约,季付,8000,8000,0.0,8000,https://bj.zu.ke.com/zufang/BJ1946890744371347456.html
金台园,整租,3室1厅1卫,72.94㎡,南 北,3天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,半年付,2300,2300,0.0,2300,https://bj.zu.ke.com/zufang/BJ1946872649099509760.html
潘家园东里,整租,2室1厅1卫,71.69㎡,东南,今天,随时入住,9/18层,有,租用车位,民水,民电,有,集中供暖,1~3年,随时可看,月付,6184,6184,,0,https://bj.zu.ke.com/zufang/BJ1829179562001432576.html
沁园春景,整租,2室1厅1卫,84.99㎡,南 北,8天前,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,1700,1700,0.0,1700,https://bj.zu.ke.com/zufang/BJ1946870925982957568.html
石门新居34号院,整租,2室1厅1卫,87.00㎡,南,14天前,随时入住,中楼层/14层,有,租用车位,暂无数据,暂无数据,有,自采暖,1年以内,需提前预约,季付,7600,7600,0.0,7600,https://bj.zu.ke.com/zufang/BJ1946860934752370688.html
上北鑫座,整租,1房间1卫,89.91㎡,北,7天前,随时入住,中楼层/7层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,季付,9200,9200,0.0,9200,https://bj.zu.ke.com/zufang/BJ1946859800792924160.html
